,X,steering_angles,travelled_dist,y
0,"['CH3_001_output/center/1479421383137449833.jpg', 'CH3_001_output/center/1479421383387218905.jpg', 'CH3_001_output/center/1479421383587266215.jpg']","[-0.0314159281552, -0.028745529521, -0.027981114092000003, -0.025371183966799996, -0.024434609338599998, -0.025225918342499997, -0.0312320637053, -0.0349065847695, -0.0400416653543, -0.0401425734162, -0.0401425734162, -0.0401425734162, -0.0401425734162, -0.0426242971454, -0.04363323003050001, -0.0457864470964, -0.0488692186773, -0.0506145469844, -0.0506145469844, -0.0523598790169, -0.0523598790169, -0.0523598790169, -0.0523598790169, -0.0547844143135, -0.057383807677]","[0.0, 3.985953055183459, 7.174670069312783, 7.971824608775182, 8.438475568757402, 9.080284784822743, 9.8774451689991, 10.674680364511753, 11.471840688274273, 12.269000986641347, 13.066236094644275, 13.863396334340239, 14.660631381665915, 15.457791561879219, 16.25495171053538, 17.052186675302323, 17.515558849233745, 18.163356896839613, 18.960591774630515, 19.757751778331684, 20.630193706042764, 21.43267714199331, 22.221057236610655, 23.21343220515141, 24.01059203734462, 24.807751839783172, 25.604986456028584]","[138, 138, 138, 138, 138, 138, 138, 137, 137, 137, 137, 137, 137, 137, 137, 136, 136, 136, 136, 136, 136, 136, 136, 135, 135]"
1,"['CH3_001_output/center/1479421385637529693.jpg', 'CH3_001_output/center/1479421385887720129.jpg', 'CH3_001_output/center/1479421386137650054.jpg']","[-0.009508782469639999, -0.0038872927914899995, 0.0, 0.0, -0.00395775773681, -0.011378404690799999, -0.0244786083003, -0.0493462894791, -0.0828449516302, -0.116059103596, -0.13871535500999999, -0.15264997693399998, -0.155742064691, -0.16183970458799998, -0.171432358434, -0.181514248252, -0.216933615625, -0.24307098382599998, -0.249226084578, -0.241894528809, -0.215662998638, -0.181035217735, -0.143935107194, -0.117901387085, -0.10646508634099999]","[0.0, 3.5985183007230255, 7.295326648509784, 8.092485577956307, 8.889719319229693, 9.686878191558463, 10.484037035679451, 11.28127069166569, 11.70591868958458, 12.503077443761402, 13.30031101058077, 14.097469707019428, 14.894628376545295, 15.69186185529401, 16.19754811220617, 16.780964096323505, 17.57819748939389, 18.375356013487878, 19.172514507771407, 19.969747813980153, 20.39439581105633, 21.191554216184414, 21.98878743480195, 22.78593985408508, 23.583098172169453, 24.38033130378531, 24.804979302049798]","[140, 141, 141, 141, 141, 140, 138, 136, 133, 129, 127, 126, 125, 125, 124, 123, 119, 117, 116, 117, 119, 123, 126, 129, 130]"
2,"['CH3_001_output/center/1479421388238020882.jpg', 'CH3_001_output/center/1479421388488012514.jpg', 'CH3_001_output/center/1479421388738129026.jpg']","[-0.136135682464, -0.133400103056, -0.132533903437, -0.13188072941600001, -0.134390354156, -0.13264502584899998, -0.134390354156, -0.134390354156, -0.134390354156, -0.134390354156, -0.136135682464, -0.13788101077099998, -0.13788101077099998, -0.13788101077099998, -0.139626339078, -0.139626339078, -0.14135581960899998, -0.139626339078, -0.136128594541, -0.12914801921900002, -0.113335856853, -0.08812258225889999, -0.0715653724688, -0.06457718461749999, -0.06457718461749999]","[0.0, 3.61342819781331, 7.226780943985768, 8.0240131744989, 8.448661172623023, 9.24581850465303, 10.043050646905884, 10.631148016242706, 11.133169258791877, 11.93032647396784, 13.015018434929095, 13.439666432962769, 14.236823530494805, 15.034055442524346, 15.831212481926066, 16.255860481208682, 17.053017464727507, 17.850249257834786, 18.27489725697228, 19.07205415215532, 19.869285858938728, 20.29393385704093, 21.09109066338093, 21.888247441623903, 22.68547903260668, 23.53477502874695, 24.331931694440016]","[127, 128, 128, 128, 127, 128, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 128, 130, 132, 134, 134, 134]"
3,"['CH3_001_output/center/1479421390938539987.jpg', 'CH3_001_output/center/1479421391188585519.jpg', 'CH3_001_output/center/1479421391488535946.jpg']","[-0.00368358758989, -0.020020013376799997, -0.0285607376109, -0.032914861890500004, -0.0379023754994, -0.0401425734162, -0.0401425734162, -0.0401425734162, -0.0401425734162, -0.0418879017234, -0.045378562063, -0.0471238903701, -0.0506145469844, -0.052047261275699995, -0.0558505356312, -0.0558505356312, -0.0558505356312, -0.0558505356312, -0.05934119597080001, -0.0659661979112, -0.0680678412318, -0.0680678412318, -0.0658432225077, -0.063221116842, -0.058380501815499995]","[0.0, 3.5571019371171655, 7.595095880563396, 8.392326395015443, 8.816974392941992, 9.901610192274417, 10.698840590874935, 11.123488589461639, 11.920644090838909, 12.71779956105589, 13.142447558648893, 13.939677811046833, 14.736833198584238, 15.161481196881665, 15.958711361862754, 16.952533753220905, 17.496715925972243, 18.293871134471736, 19.091101156004907, 19.51573802130556, 20.312893142061807, 21.110123075473965, 21.534771072212894, 22.331926108431105, 22.980121658754896, 23.44328108818677, 24.24051087610164]","[141, 139, 138, 138, 137, 137, 137, 137, 137, 137, 136, 136, 136, 136, 135, 135, 135, 135, 135, 134, 134, 134, 134, 135, 135]"
4,"['CH3_001_output/center/1479421393689021487.jpg', 'CH3_001_output/center/1479421393989047416.jpg', 'CH3_001_output/center/1479421394239113437.jpg']","[0.0191986225545, 0.00935042393727, 0.00174532923847, 0.0, -0.00461000303312, -0.0104719754308, -0.0104719754308, -0.0104719754308, -0.0104719754308, -0.008726646192370001, -0.008726646192370001, -0.005461720937100001, -0.009799079841, -0.0143604851737, -0.022011665705699998, -0.0242506489269, -0.0209439508617, -0.0193719393614, -0.0209439508617, -0.0209439508617, -0.0209439508617, -0.0209439508617, -0.0191986225545, -0.0191986225545, -0.0191986225545]","[0.0, 3.6654814417320414, 7.310244031898423, 7.986753794631728, 8.85836494565266, 9.580423501609328, 10.377577345833206, 10.502388035486264, 11.2407307815018, 11.665378778597761, 12.539377005597292, 13.275227935946406, 13.699875933897673, 14.49702960604045, 14.921677603082616, 15.7188312132094, 16.14347921026179, 16.9407076051141, 17.737861128090636, 18.162509125408942, 18.959737430960438, 19.384385430068296, 20.181538835435152, 20.6061868338535, 21.280818262298755, 21.705466260152868, 22.502694419732737]","[143, 142, 141, 141, 140, 140, 140, 140, 140, 140, 140, 140, 140, 139, 139, 139, 139, 139, 139, 139, 139, 139, 139, 139, 139]"
5,"['CH3_001_output/center/1479421396839371852.jpg', 'CH3_001_output/center/1479421397189747791.jpg', 'CH3_001_output/center/1479421397539711777.jpg']","[-0.00349065847695, -0.00349065847695, -0.00349065847695, -0.00349065847695, -0.00349065847695, -0.00349065847695, -0.0069813169539, -0.0104719754308, -0.0146270678804, -0.0157079640776, -0.0133011229598, -0.0104719754308, -0.00983023523737, -0.008726646192370001, -0.008726646192370001, -0.008726646192370001, -0.008726646192370001, -0.008726646192370001, -0.00462646909028, -0.00349065847695, -0.00349065847695, -0.00349065847695, -0.00523598771542, -0.00523598771542, -0.018136581389099998]","[0.0, 3.665476558257694, 7.208430535175831, 7.883149156142299, 8.30779715459759, 8.732445153078055, 9.529597398728052, 9.529597398728052, 10.3267496154422, 10.751397613779012, 10.751397613779012, 11.548624610724938, 11.973272609112295, 12.273314477357982, 12.839567201807846, 13.264215199875846, 13.938933512225738, 14.363581508880616, 14.78822950740915, 15.462859318968247, 15.887507316522743, 16.98677392870171, 17.61230791493808, 18.747810307896902, 19.544962147572914, 20.766836764152274, 21.1914847627291]","[141, 141, 141, 141, 141, 141, 140, 140, 139, 139, 140, 140, 140, 140, 140, 140, 140, 140, 140, 141, 141, 141, 140, 140, 139]"
6,"['CH3_001_output/center/1479421401540387232.jpg', 'CH3_001_output/center/1479421402290492027.jpg', 'CH3_001_output/center/1479421403040674482.jpg']","[0.045378562063, 0.04363323003050001, 0.0418879017234, 0.0418879017234, 0.0418879017234, 0.0418879017234, 0.0401425734162, 0.0375752326415, 0.0366519130766, 0.0366519130766, 0.0366519130766, 0.0366519130766, 0.0349065847695, 0.0349065847695, 0.033161256462300004, 0.033161256462300004, 0.033161256462300004, 0.033161256462300004, 0.0279252678156, 0.0279252678156, 0.0279252678156, 0.0429719344625, 0.0898579550072, 0.065410215158, -0.00349065847695]","[0.0, 3.845088697911421, 7.0155237532847625, 7.0155237532847625, 7.0155237532847625, 7.690152162085574, 8.11480016141232, 8.11480016141232, 8.11480016141232, 8.11480016141232, 8.539448159025088, 8.539448159025088, 9.214076496230964, 9.63872449401964, 10.738089190350696, 11.959887835419453, 12.634516035754427, 13.483812031313875, 14.33310802730858, 15.182404023738542, 16.281680117938333, 16.706328115834232, 17.503553457297134, 18.602829446185776, 19.452125441716593, 20.126753365168604, 21.65076564949746]","[145, 145, 145, 145, 145, 145, 145, 145, 145, 145, 145, 145, 144, 144, 144, 144, 144, 144, 144, 144, 144, 145, 150, 148, 141]"
7,"['CH3_001_output/center/1479421432946133119.jpg', 'CH3_001_output/center/1479421433446215711.jpg', 'CH3_001_output/center/1479421433896244174.jpg']","[0.04363323003050001, 0.04363323003050001, 0.04363323003050001, 0.04363323003050001, 0.04363323003050001, 0.04363323003050001, 0.04363323003050001, 0.04363323003050001, 0.04363323003050001, 0.04363323003050001, 0.0378907547709, 0.0337978361016, 0.0309563420824, 0.0279252678156, 0.0279252678156, 0.0279252678156, 0.0279252678156, 0.0279252678156, 0.0279252678156, 0.0286457372505, 0.029670597985400005, 0.0314159281552, 0.033161256462300004, 0.033161256462300004, 0.027834382014700003]","[0.0, 3.845084004957197, 7.4782961397676795, 7.902944136981808, 7.902944136981808, 8.700168343497031, 9.124816340912586, 9.124816340912586, 9.921965651020468, 9.921965651020468, 10.346613649266974, 11.143837739487754, 11.143837739487754, 11.940986962025878, 11.940986962025878, 12.365634961239365, 13.162784123680419, 13.162784123680419, 14.384656065929242, 15.181805143391118, 16.403602158884386, 16.828250158206657, 17.50296482868846, 19.026886999967587, 19.45153499903797, 20.248758711405745, 21.470555522807853]","[145, 145, 145, 145, 145, 145, 145, 145, 145, 145, 145, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144]"
8,"['CH3_001_output/center/1479421437047228880.jpg', 'CH3_001_output/center/1479421437396877670.jpg', 'CH3_001_output/center/1479421437696917852.jpg']","[-0.090757124126, -0.08901178836819999, -0.08901178836819999, -0.0866059071187, -0.0839983570014, -0.0789706999344, -0.07354199090800001, -0.0685251555866, -0.06307845206, -0.062428779401, -0.0578593684945, -0.048779115173899996, -0.037223494738599996, -0.0208609469187, -0.011052990590700001, -0.0046052903097, 0.00174532923847, 0.00174532923847, 0.00174532923847, 0.00174532923847, -0.00284731979859, -0.00808483183912, -0.0227476696386, -0.045170398524900006, -0.0681323320371]","[0.0, 4.037962894667698, 7.549967383891108, 7.974615381395742, 8.771837960046794, 9.196474826019971, 9.953413060982868, 10.03478713622183, 10.83200962830577, 11.256657625349572, 12.053805221057523, 12.750225195829373, 13.192231057745385, 13.989453405556779, 14.41410140276934, 15.211248852896581, 15.635896850461306, 16.433119079840868, 16.433119079840868, 17.266467183924007, 17.626527988161644, 18.42367529042832, 18.848323289271633, 19.64554537330768, 20.070193370613566, 20.867340559103983, 21.664487718183814]","[132, 132, 132, 132, 132, 133, 134, 134, 135, 135, 135, 136, 137, 139, 140, 140, 141, 141, 141, 141, 141, 140, 139, 136, 134]"
9,"['CH3_001_output/center/1479421440197211950.jpg', 'CH3_001_output/center/1479421440497247339.jpg', 'CH3_001_output/center/1479421440747284570.jpg']","[0.0855211317539, 0.0837758034468, 0.0820304751396, 0.0820304751396, 0.0820304751396, 0.0809101433446, 0.0765528554662, 0.0665032202764, 0.055184922907699996, 0.0427827222287, 0.0309958837104, 0.023353891329799998, 0.0170625567037, 0.0128950970176, 0.008726646192370001, 0.0069813169539, 0.00523598771542, 0.00523598771542, 0.00523598771542, 0.00523598771542, 0.00523598771542, 0.00523598771542, 0.00334848961403, 0.000744255849147, -0.0069813169539]","[0.0, 4.038030905211754, 7.538189547935844, 8.355201065494153, 8.373568675682993, 9.443931741900505, 10.241077678916339, 10.66572567748744, 11.462871557418568, 11.887519556191743, 12.684740215173239, 13.48188600852377, 13.906534005895134, 14.703754578452061, 15.494922303329112, 15.919629222871391, 16.71677487089804, 17.566059735532626, 18.363280133190813, 19.160425662743325, 19.585073659578896, 20.382219133285894, 21.179439414514093, 21.604087413317224, 22.40123279887125, 23.19845299398566, 23.623100992496845]","[150, 149, 149, 149, 149, 149, 149, 148, 146, 145, 144, 143, 143, 142, 142, 142, 141, 141, 141, 141, 141, 141, 141, 141, 140]"
